wavelength,flux
3829.6004228631837,1755632.431190412
3829.653280761154,2193947.2014447385
3829.7061386591236,3018140.2633657535
3829.7589965570937,3289128.3565090667
3829.8118544550634,3235206.3688050066
3829.8647123530336,3145889.8298741076
3829.917570251004,3055385.221388928
3829.9704281489735,2960874.6085525136
3830.0232860469437,2826581.9436117546
3830.0761439449134,2623926.7374459836
3830.1290018428836,2351119.267248673
3830.1818597408533,1718680.3780440087
3830.2347176388234,1260946.8889680754
3830.287575536793,1263727.0996883377
3830.3404334347633,1006081.1159258888
3830.3932913327335,586597.7716395644
3830.446149230703,303021.2826110488
3830.4990071286734,455124.3307115859
3830.551865026643,701163.3598214159
3830.6047229246133,1023766.5693914637
3830.657580822583,1266804.6489367678
3830.710438720553,1511501.540430537
3830.7632966185233,1569124.3302882924
3830.816154516493,1047499.0798211218
3830.869012414463,1516054.6541798064
3830.921870312433,2605051.6548625086
3830.974728210403,3008440.5089523024
3831.027586108373,3000459.191996849
3831.080444006343,2353899.2353851055
3831.1333019043127,2083249.2294501609
3831.186159802283,2849258.881031855
3831.239017700253,3265500.5661425237
3831.2918755982228,3297488.366099714
3831.344733496193,3190888.6047188183
3831.3975913941626,3088531.954114763
3831.450449292133,3128865.935705773
3831.5033071901025,2839283.881755925
3831.5561650880727,2822388.629118069
3831.609022986043,2583501.6290359017
3831.6618808840126,2283485.911501635
3831.7147387819828,2807083.3128046114
3831.7675966799525,3064068.716825377
3831.8204545779226,2556215.3643817035
3831.8733124758924,1454094.738321196
3831.9261703738625,993494.3481236824
3831.9790282718322,1852465.8976350538
3832.0318861698024,2912886.060449451
3832.0847440677726,2544176.9584194566
3832.1376019657423,2478939.5370424907
3832.1904598637125,2982821.244606371
3832.243317761682,3097970.681980908
3832.2961756596524,3038386.1289086556
3832.349033557622,2991517.438020575
3832.4018914555922,2978108.3727626083
3832.454749353562,2872228.0957473214
3832.507607251532,2737956.850023653
3832.5604651495023,2610487.799968908
3832.613323047472,2331775.361491856
3832.666180945442,1745559.5652365116
3832.719038843412,1430527.4881782385
3832.771896741382,1166136.264880931
3832.824754639352,770227.9757607665
